Team And Year,MOV (PPG),SRS,ORtg,DRtg,NRtg,Win%,Pythagorean Win%,MOV Percentile,SRS Percentile,ORTG Percentile,DRTG Percentile,Net Rating Percentile,Win% Percentile,Pythagorean Win% Percentile
Atlanta Hawks: 1986,2.37,2.59,107.9,105.6,2.3,60.97560976,57.31707317,67.5,69.4,54.5,77.3,64.6,71.3,63.5
Philadelphia 76ers: 1986,2.35,2.46,108.6,106.3,2.3,65.85365854,57.31707317,67.3,68.2,63.6,54.6,64.6,81.2,63.5
Denver Nuggets: 1986,1.3,0.89,107.1,105.9,1.2,57.31707317,53.65853659,57.7,54.9,50,68.2,56.8,62.9,54.7
Dallas Mavericks: 1986,1.1,0.7,112.1,111,1.1,53.65853659,53.65853659,56.7,54.1,95.4,13.7,55.6,55,54.7
Detroit Pistons: 1986,1.17,1.44,109,107.9,1.1,56.09756098,53.65853659,57.1,59.3,72.7,36.4,55.6,61.5,54.7
Portland Trail Blazers: 1986,1.06,0.61,109.2,108.2,1,48.7804878,53.65853659,56,53.4,77.2,31.9,54.6,41.8,54.7
Seattle SuperSonics: 1986,-0.1,-0.47,105.9,106,-0.1,37.80487805,50,47.7,44.1,36.3,59.1,47.5,23.5,47.3
Utah Jazz: 1986,-0.37,-0.67,104.2,104.6,-0.4,51.2195122,48.7804878,44.6,41.9,13.6,91,44.3,48.5,43.6
San Antonio Spurs: 1986,-1.85,-2.06,106.5,108.2,-1.7,42.68292683,43.90243902,33.2,31.5,45.4,31.9,34.4,31.7,32.9
Washington Bullets: 1986,-1.8,-1.28,103,104.8,-1.8,47.56097561,43.90243902,33.5,37.3,9,86.4,33.7,39.7,32.9
New Jersey Nets: 1986,-1.99,-1.39,105,106.9,-1.9,47.56097561,43.90243902,32.5,36.1,22.7,50,33.4,39.7,32.9
Cleveland Cavaliers: 1986,-2.87,-2.19,105.5,108.3,-2.8,35.36585366,41.46341463,27.9,30.8,31.8,22.8,28.6,19.9,29.2
Phoenix Suns: 1986,-2.99,-3.16,104.3,107.2,-2.9,39.02439024,40.24390244,26.8,24.8,18.1,45.5,28.1,25.6,26.3
Sacramento Kings: 1986,-3.07,-3.19,106.2,109.2,-3,45.12195122,40.24390244,26.3,24.5,40.9,18.2,27.5,35.9,26.3
Indiana Pacers: 1986,-3.33,-2.66,102.6,105.9,-3.3,31.70731707,39.02439024,24.6,27.6,4.5,68.2,25.6,14.3,24.2
Golden State Warriors: 1986,-3.45,-3.59,108.3,111.6,-3.3,36.58536585,40.24390244,23.8,22.3,59,9.1,25.6,21.9,26.3
Chicago Bulls: 1986,-3.8,-3.12,108.6,112.4,-3.8,36.58536585,37.80487805,21.6,25.2,63.6,0,22.3,21.9,21.6
New York Knicks: 1986,-5.61,-4.82,99.5,105.2,-5.7,28.04878049,31.70731707,13.7,16.7,0,81.9,13.9,9.4,12.9
Los Angeles Clippers: 1986,-6.93,-6.83,105.4,112.1,-6.7,39.02439024,29.26829268,8.5,8,27.2,4.6,10.7,25.6,9.8
Los Angeles Lakers: 1987,9.3,8.32,115.6,106.5,9.1,79.26829268,75.6097561,99,98.2,100,72.8,98.2,98.5,97.2
Atlanta Hawks: 1987,7.23,7.18,112.6,105.2,7.4,69.51219512,71.95121951,95,95.9,86.3,95.5,94,88.4,92.3
Boston Celtics: 1987,6.65,6.57,113.5,106.8,6.7,71.95121951,69.51219512,92.7,93.2,90.9,63.7,91.1,92.5,88.7
Dallas Mavericks: 1987,6.3,5.54,114.9,108.7,6.2,67.07317073,68.29268293,90.6,88.3,95.4,41,88.7,83.7,86.2
