Pick,Draft Year,Team (Full Name),Team And Draft Year,Team Abbr.,Player,College,Years Played,Games Played,Minutes Played,WS,WS/48,BPM,VORP,College?,WS Percentile,VORP Percentile,WS/48 Percentile,BPM Percentile,Counting Stat Total,Rate Stat Total,Overall Total,Counting Stat Percentile,Rate Stat Percentile,Overall Value Percentile,,,,,,,,,,,,,
3,1986,Golden State Warriors,Golden State Warriors: 1986,GSW,Chris Washburn,NC State,2,72,645,-0.6,-0.046,-7.4,-0.9,Yes,1.5,13.7,5.6,6.5,15.2,12.1,27.3,1.6,4.6,0.8,,,,,,,,,,,,,
4,1986,Indiana Pacers,Indiana Pacers: 1986,IND,Chuck Person,Auburn,13,943,28941,38.9,0.065,-0.7,9.2,Yes,81.6,81.5,45.2,67.8,163.1,113,276.1,84.9,63.5,74.6,,,,,,,,,,,,,
5,1986,New York Knicks,New York Knicks: 1986,NYK,Kenny Walker,Kentucky,7,448,9050,17.9,0.095,-1.8,0.6,Yes,63.3,57.3,69.5,51.7,120.6,121.2,241.8,67.2,67.5,67.2,,,,,,,,,,,,,
6,1986,Phoenix Suns,Phoenix Suns: 1986,PHO,William Bedford,Memphis,6,238,2514,0.9,0.017,-4.8,-1.8,Yes,29.3,6.2,18.9,17.6,35.5,36.5,72,7.9,14.6,13.4,,,,,,,,,,,,,
7,1986,Dallas Mavericks,Dallas Mavericks: 1986,DAL,Roy Tarpley,Michigan,6,280,7476,19.8,0.127,-0.2,3.4,Yes,65.8,68.8,86.7,74.1,134.6,160.8,295.4,72.7,84.7,79.6,,,,,,,,,,,,,
8,1986,Cleveland Cavaliers,Cleveland Cavaliers: 1986,CLE,Ron Harper,Miami University,15,1009,31199,65.8,0.101,1.9,30.3,Yes,92.4,95.4,72.6,92.6,187.8,165.2,353,95,86.7,92,,,,,,,,,,,,,
9,1986,Chicago Bulls,Chicago Bulls: 1986,CHI,Brad Sellers,Ohio State,6,398,7154,9.8,0.066,-2.2,-0.4,Yes,52.7,24.4,45.7,45.6,77.1,91.3,168.4,55.2,52.5,52.2,,,,,,,,,,,,,
10,1986,San Antonio Spurs,San Antonio Spurs: 1986,SAS,Johnny Dawkins,Duke,9,541,14859,21.8,0.07,-0.9,4.2,Yes,68.3,70.7,49.5,64.9,139,114.4,253.4,74.3,64.3,70.1,,,,,,,,,,,,,
11,1986,Detroit Pistons,Detroit Pistons: 1986,DET,John Salley,Georgia Tech,11,748,16524,41.5,0.121,0.5,10.5,Yes,82.9,83.4,84.2,82.2,166.3,166.4,332.7,86.1,87,87.8,,,,,,,,,,,,,
12,1986,Washington Bullets,Washington Bullets: 1986,WSB,John Williams,LSU,8,435,10952,19.9,0.087,1.2,8.8,Yes,65.9,80.8,63.9,88.8,146.7,152.7,299.4,77.3,81.4,80.4,,,,,,,,,,,,,
13,1986,New Jersey Nets,New Jersey Nets: 1986,NJN,Pearl Washington,Syracuse,3,194,4044,1.9,0.023,-1.7,0.3,Yes,35.2,54.7,21,53.3,89.9,74.3,164.2,58.4,31.7,51.6,,,,,,,,,,,,,
14,1986,Portland Trail Blazers,Portland Trail Blazers: 1986,POR,Walter Berry,St. John's,3,205,4863,8.2,0.081,-1,1.2,Yes,50.3,60.8,58.9,63.5,111.1,122.4,233.5,64.2,68.2,65.5,,,,,,,,,,,,,
15,1986,Utah Jazz,Utah Jazz: 1986,UTA,Dell Curry,Virginia Tech,16,1083,23549,41.5,0.085,0.9,17.1,Yes,82.9,89.4,61.9,86.1,172.3,148,320.3,88.7,79.5,85,,,,,,,,,,,,,
16,1986,Denver Nuggets,Denver Nuggets: 1986,DEN,Maurice Martin,Saint Joseph's,2,69,422,-0.3,-0.033,-6,-0.4,Yes,3.4,24.4,6.9,10.2,27.8,17.1,44.9,4.9,6.3,4.4,,,,,,,,,,,,,
17,1986,Sacramento Kings,Sacramento Kings: 1986,SAC,Harold Pressley,Villanova,4,299,6802,10,0.07,0.3,4,Yes,53,70.2,49.5,80,123.2,129.5,252.7,68,71.1,69.8,,,,,,,,,,,,,
18,1986,Denver Nuggets,Denver Nuggets: 1986,DEN,Mark Alarie,Duke,5,325,5500,8.4,0.073,-2.3,-0.5,Yes,50.8,21.7,51.9,44.4,72.5,96.3,168.8,53.4,54.8,52.4,,,,,,,,,,,,,
19,1986,Atlanta Hawks,Atlanta Hawks: 1986,ATL,Billy Thompson,Louisville,6,300,6697,9.6,0.069,-1.3,1.2,Yes,52.4,60.8,48.3,59.7,113.2,108,221.2,64.6,60.7,62.7,,,,,,,,,,,,,
20,1986,Houston Rockets,Houston Rockets: 1986,HOU,Buck Johnson,Alabama,7,505,11849,20.8,0.084,-1.4,1.7,Yes,66.9,62.7,60.8,58.3,129.6,119.1,248.7,71.1,66.9,68.7,,,,,,,,,,,,,
21,1986,Washington Bullets,Washington Bullets: 1986,WSB,Anthony Jones,UNLV,3,164,1704,0.8,0.022,-2.8,-0.3,Yes,28.3,27.4,20.6,36.4,55.7,57,112.7,41.9,24,25.2,,,,,,,,,,,,,
22,1986,Milwaukee Bucks,Milwaukee Bucks: 1986,MIL,Scott Skiles,Michigan State,10,600,16789,30.4,0.087,-0.4,6.7,Yes,76.1,76.7,63.9,71.5,152.8,135.4,288.2,79.6,74.2,77.8,,,,,,,,,,,,,
23,1986,Los Angeles Lakers,Los Angeles Lakers: 1986,LAL,Ken Barlow,Notre Dame,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
24,1986,Portland Trail Blazers,Portland Trail Blazers: 1986,POR,Arvydas Sabonis,,7,470,11375,47.3,0.2,4.4,18.4,No,85.8,90.3,98.6,98,176.1,196.6,372.7,90.1,98.8,95.9,,,,,,,,,,,,,
25,1986,Dallas Mavericks,Dallas Mavericks: 1986,DAL,Mark Price,Georgia Tech,12,722,21560,71.1,0.158,3.7,31.1,Yes,93.3,95.6,95.3,97.6,188.9,192.9,381.8,95.5,97.7,97.5,,,,,,,,,,,,,
26,1986,Indiana Pacers,Indiana Pacers: 1986,IND,Greg Dreiling,Kansas,10,474,4241,4,0.045,-5.3,-3.5,Yes,42.5,1.8,32.6,14.1,44.3,46.7,91,14,19,18.6,,,,,,,,,,,,,
27,1986,Detroit Pistons,Detroit Pistons: 1986,DET,Dennis Rodman,Southeastern Oklahoma State University,14,911,28839,89.8,0.15,0.9,21,Yes,96,92,93.1,86.1,188,179.2,367.2,95.1,92.6,95.1,,,,,,,,,,,,,
28,1986,Chicago Bulls,Chicago Bulls: 1986,CHI,Larry Krystkowiak,Montana,9,420,9097,15.6,0.082,-2.7,-1.6,Yes,60.8,7.6,59.5,37.9,68.4,97.4,165.8,51.3,55.3,51.9,,,,,,,,,,,,,
29,1986,Cleveland Cavaliers,Cleveland Cavaliers: 1986,CLE,Johnny Newman,Richmond,16,1159,28435,50.3,0.085,-1.6,2.9,Yes,87,66.8,61.9,54.7,153.8,116.6,270.4,80.3,65.5,73.2,,,,,,,,,,,,,
30,1986,Seattle SuperSonics,Seattle SuperSonics: 1986,SEA,Nate McMillan,NC State,12,796,20462,50.2,0.118,3.3,27.2,Yes,87,94.2,82.9,96.9,181.2,179.8,361,91.9,93.1,93.7,,,,,,,,,,,,,
31,1986,Phoenix Suns,Phoenix Suns: 1986,PHO,Joe Ward,Georgia,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
32,1986,Atlanta Hawks,Atlanta Hawks: 1986,ATL,Cedric Henderson,Georgia,1,8,16,0,-0.015,-8.6,0,Yes,11,44.6,10.3,4.2,55.6,14.5,70.1,25.7,5.3,12.7,,,,,,,,,,,,,
33,1986,San Antonio Spurs,San Antonio Spurs: 1986,SAS,Kevin Duckworth,Eastern Illinois University,11,684,17462,24.7,0.068,-3.8,-7.6,Yes,71.1,0.1,47.2,25.5,71.2,72.7,143.9,52.7,30.8,33.8,,,,,,,,,,,,,
34,1986,Sacramento Kings,Sacramento Kings: 1986,SAC,Johnny Rogers,"University of California, Irvine",2,69,636,0.4,0.032,-4.8,-0.4,Yes,23.7,24.4,25.1,17.6,48.1,42.7,90.8,17.7,17.4,18.4,,,,,,,,,,,,,
